Events,,,,,,,,,,,,,,Players
23mins 2nd half Round Towers Minor Footballers turnover won ,,,,,,,,,,,,,,
23mins 2nd half Whitehall Colmcilles free/pen conceded    Posn: 91:71,,,,,,,,,,,,,,
24mins 2nd half Whitehall Colmcilles turnover won    Posn: 44:95,,,,,,,,,,,,,,
24mins 2nd half Round Towers Minor Footballers turnover won  Ryan Hickey  Posn: 5:71,,,,,,,,,,,,,,
24mins 2nd half Round Towers Minor Footballers wide  Mark Maguire  Posn: 20:91,,,,,,,,,,,,,,
25mins 2nd half Whitehall Colmcilles own puck/kick out lost    Posn: 91:70,,,,,,,,,,,,,,
25mins 2nd half Round Towers Minor Footballers wide from play Craig Doherty  Posn: 75:74,,,,,,,,,,,,,,
26mins 2nd half Whitehall Colmcilles own puck/kick out won    Posn: 78:87,,,,,,,,,,,,,,
1st half start: 11:01   03-10-21 Round Towers Minor Footballers v. Kilmacud Crokes,,,,,,,,,,,,,,
00mins 1st half Round Towers Minor Footballers turnover won  Liam Redmond,,,,,,,,,,,,,,
00mins 1st half Round Towers Minor Footballers turnover lost  Liam Redmond,,,,,,,,,,,,,,
01mins 1st half Kilmacud Crokes wide from play 15  Posn: 18:10,,,,,,,,,,,,,,
01mins 1st half Round Towers Minor Footballers own puck/kick out lost    Posn: 11:45,,,,,,,,,,,,,,
01mins 1st half Kilmacud Crokes point from play 8  Posn: 36:13,,,,,,,,,,,,,,
02mins 1st half Round Towers Minor Footballers own puck/kick out won  Ryan Hickey  Posn: 50:24,,,,,,,,,,,,,,
02mins 1st half Round Towers Minor Footballers saved  Robert Moore  Posn: 43:85,,,,,,,,,,,,,,
02mins 1st half Kilmacud Crokes free/pen conceded    Posn: 42:85,,,,,,,,,,,,,,
03mins 1st half Round Towers Minor Footballers point from free Craig Doherty  Posn: 37:84,,,,,,,,,,,,,,
03mins 1st half Kilmacud Crokes own puck/kick out lost    Posn: 11:80,,,,,,,,,,,,,,
03mins 1st half Kilmacud Crokes free/pen conceded    Posn: 11:80,,,,,,,,,,,,,,
03mins 1st half Kilmacud Crokes turnover won  2  Posn: 70:94,,,,,,,,,,,,,,
04mins 1st half Kilmacud Crokes short from play   Posn: 27:19,,,,,,,,,,,,,,
04mins 1st half Round Towers Minor Footballers turnover won  Mark Maguire,,,,,,,,,,,,,,
04mins 1st half Kilmacud Crokes turnover won ,,,,,,,,,,,,,,
05mins 1st half Kilmacud Crokes wide from play 15  Posn: 59:17,,,,,,,,,,,,,,
05mins 1st half Round Towers Minor Footballers free/pen conceded  Ryan Hickey  Posn: 62:17,,,,,,,,,,,,,,
06mins 1st half Kilmacud Crokes point from free 15  Posn: 59:17,,,,,,,,,,,,,,
06mins 1st half Round Towers Minor Footballers own puck/kick out won  Liam Redmond  Posn: 73:37,,,,,,,,,,,,,,
06mins 1st half Kilmacud Crokes turnover won ,,,,,,,,,,,,,,
06mins 1st half Round Towers Minor Footballers free/pen conceded  Robert Moore  Posn: 92:73,,,,,,,,,,,,,,
07mins 1st half Kilmacud Crokes goal from play 14  Posn: 61:12,,,,,,,,,,,,,,
07mins 1st half Round Towers Minor Footballers own puck/kick out lost  Daragh McCabe  Posn: 82:34,,,,,,,,,,,,,,
07mins 1st half Kilmacud Crokes saved from play 5  Posn: 63:6,,,,,,,,,,,,,,
07mins 1st half Round Towers Minor Footballers turnover won  Aaron Leahy,,,,,,,,,,,,,,
07mins 1st half Kilmacud Crokes turnover won  7,,,,,,,,,,,,,,
08mins 1st half Round Towers Minor Footballers turnover won  Luke Swayne,,,,,,,,,,,,,,
08mins 1st half Round Towers Minor Footballers free/pen conceded  Mark Maguire  Posn: 8:28,,,,,,,,,,,,,,
08mins 1st half Round Towers Minor Footballers turnover won ,,,,,,,,,,,,,,
09mins 1st half Kilmacud Crokes turnover won ,,,,,,,,,,,,,,
09mins 1st half Round Towers Minor Footballers turnover won ,,,,,,,,,,,,,,
09mins 1st half Round Towers Minor Footballers saved  Robert Moore  Posn: 55:91,,,,,,,,,,,,,,
09mins 1st half Round Towers Minor Footballers saved  Robert Moore  Posn: 63:98,,,,,,,,,,,,,,
09mins 1st half Kilmacud Crokes turnover won ,,,,,,,,,,,,,,
10mins 1st half Kilmacud Crokes point from play 10  Posn: 29:17,,,,,,,,,,,,,,
10mins 1st half Round Towers Minor Footballers own puck/kick out lost    Posn: 82:57,,,,,,,,,,,,,,
10mins 1st half Round Towers Minor Footballers turnover won  Dylan Delaney,,,,,,,,,,,,,,
11mins 1st half Kilmacud Crokes free/pen conceded    Posn: 46:78,,,,,,,,,,,,,,
11mins 1st half Round Towers Minor Footballers point from free Craig Doherty  Posn: 47:83,,,,,,,,,,,,,,
12mins 1st half Kilmacud Crokes own puck/kick out lost    Posn: 90:80,,,,,,,,,,,,,,
12mins 1st half Kilmacud Crokes free/pen conceded    Posn: 85:90,,,,,,,,,,,,,,
12mins 1st half Round Towers Minor Footballers wide from free Craig Doherty  Posn: 84:83,,,,,,,,,,,,,,
